# 1D Euler DG Solution - Physical Variables
# Time: 1.000000000000000e-02
# NX=200, Polynomial Order=2
# gamma=1.400000000000000e+00
#
# Columns:
#   1: x (cell center)
#   2: rho (density)
#   3: u (velocity)
#   4: p (pressure)
#   5: E (total energy)
#   6: e (internal energy per unit mass)
#   7: Ma (Mach number)
#
-9.950000000000000e-01 1.000000000000000e+00 9.999999999999996e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124243e-01
-9.850000000000000e-01 1.000000000000000e+00 9.999999999999993e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124242e-01
-9.750000000000000e-01 1.000000000000000e+00 9.999999999999989e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124241e-01
-9.650000000000000e-01 1.000000000000000e+00 9.999999999999986e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124240e-01
-9.550000000000000e-01 1.000000000000000e+00 9.999999999999989e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124241e-01
-9.450000000000000e-01 1.000000000000000e+00 9.999999999999988e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124241e-01
-9.349999999999999e-01 9.999999999999993e-01 9.999999999999989e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000006e+03 2.672612419124240e-01
-9.250000000000000e-01 1.000000000000000e+00 9.999999999999982e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124239e-01
-9.150000000000000e-01 1.000000000000000e+00 9.999999999999988e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124241e-01
-9.050000000000000e-01 1.000000000000000e+00 9.999999999999982e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124239e-01
-8.950000000000000e-01 1.000000000000000e+00 9.999999999999975e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000001e+03 2.672612419124237e-01
-8.850000000000000e-01 1.000000000000000e+00 9.999999999999975e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000001e+03 2.672612419124237e-01
-8.750000000000000e-01 1.000000000000000e+00 9.999999999999980e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124238e-01
-8.650000000000000e-01 1.000000000000000e+00 9.999999999999977e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000001e+03 2.672612419124237e-01
-8.550000000000000e-01 9.999999999999993e-01 9.999999999999979e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000006e+03 2.672612419124237e-01
-8.450000000000000e-01 9.999999999999987e-01 9.999999999999984e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000012e+03 2.672612419124238e-01
-8.350000000000000e-01 9.999999999999993e-01 9.999999999999984e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000006e+03 2.672612419124239e-01
-8.250000000000001e-01 1.000000000000000e+00 9.999999999999989e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124241e-01
-8.150000000000001e-01 1.000000000000000e+00 9.999999999999996e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124243e-01
-8.050000000000000e-01 9.999999999999993e-01 9.999999999999993e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000006e+03 2.672612419124241e-01
-7.950000000000000e-01 1.000000000000000e+00 9.999999999999989e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124241e-01
-7.850000000000000e-01 1.000000000000000e+00 9.999999999999982e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124239e-01
-7.750000000000000e-01 9.999999999999993e-01 9.999999999999973e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000006e+03 2.672612419124236e-01
-7.650000000000000e-01 9.999999999999987e-01 9.999999999999977e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000012e+03 2.672612419124236e-01
-7.550000000000000e-01 9.999999999999993e-01 9.999999999999979e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000006e+03 2.672612419124237e-01
-7.450000000000000e-01 1.000000000000000e+00 9.999999999999982e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124239e-01
-7.350000000000000e-01 1.000000000000000e+00 9.999999999999982e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124239e-01
-7.250000000000000e-01 1.000000000000000e+00 9.999999999999982e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124239e-01
-7.150000000000000e-01 1.000000000000000e+00 9.999999999999989e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124241e-01
-7.050000000000000e-01 1.000000000000000e+00 9.999999999999982e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124239e-01
-6.950000000000000e-01 1.000000000000000e+00 9.999999999999979e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124238e-01
-6.849999999999999e-01 9.999999999999993e-01 9.999999999999964e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000006e+03 2.672612419124233e-01
-6.749999999999999e-01 9.999999999999978e-01 9.999999999999972e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000020e+03 2.672612419124233e-01
-6.649999999999999e-01 9.999999999999991e-01 9.999999999999977e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000009e+03 2.672612419124237e-01
-6.549999999999999e-01 1.000000000000000e+00 9.999999999999972e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000001e+03 2.672612419124236e-01
-6.450000000000000e-01 1.000000000000000e+00 9.999999999999966e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000001e+03 2.672612419124235e-01
-6.350000000000000e-01 1.000000000000000e+00 9.999999999999968e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000001e+03 2.672612419124235e-01
-6.250000000000000e-01 1.000000000000000e+00 9.999999999999975e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000001e+03 2.672612419124237e-01
-6.150000000000000e-01 1.000000000000000e+00 9.999999999999979e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124238e-01
-6.050000000000000e-01 1.000000000000000e+00 9.999999999999991e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124241e-01
-5.950000000000000e-01 1.000000000000000e+00 9.999999999999982e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124239e-01
-5.850000000000001e-01 1.000000000000000e+00 9.999999999999979e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124238e-01
-5.750000000000001e-01 1.000000000000000e+00 9.999999999999982e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000000e+03 2.672612419124239e-01
-5.650000000000001e-01 1.000000000000000e+00 9.999999999999972e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000001e+03 2.672612419124236e-01
-5.550000000000000e-01 1.000000000000000e+00 9.999999999999970e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000001e+03 2.672612419124236e-01
-5.450000000000000e-01 1.000000000000000e+00 9.999999999999977e+00 1.000000000000000e+03 2.550000000000000e+03 2.500000000000001e+03 2.672612419124237e-01
-5.350000000000000e-01 9.999999999999960e-01 1.000000000000009e+01 9.999999999999952e+02 2.549999999999990e+03 2.500000000000023e+03 2.672612419124270e-01
-5.250000000000000e-01 1.000000000000001e+00 9.999999999999940e+00 1.000000000000001e+03 2.550000000000002e+03 2.499999999999997e+03 2.672612419124227e-01
-5.150000000000000e-01 1.000000000000004e+00 9.999999999999755e+00 1.000000000000008e+03 2.550000000000017e+03 2.499999999999989e+03 2.672612419124173e-01
-5.050000000000000e-01 9.999999999998954e-01 1.000000000000368e+01 9.999999999998591e+02 2.549999999999680e+03 2.500000000000563e+03 2.672612419125277e-01
-4.950000000000000e-01 1.000000000000181e+00 9.999999999992848e+00 1.000000000000266e+03 2.550000000000603e+03 2.499999999999083e+03 2.672612419122219e-01
-4.850000000000000e-01 1.000000000000312e+00 9.999999999987683e+00 1.000000000000458e+03 2.550000000001038e+03 2.499999999998417e+03 2.672612419120756e-01
-4.750000000000000e-01 9.999999999961076e-01 1.000000000014408e+01 9.999999999946049e+02 2.549999999987759e+03 2.500000000020571e+03 2.672612419164758e-01
-4.650000000000000e-01 1.000000000013435e+00 9.999999999494039e+00 1.000000000018928e+03 2.550000000042933e+03 2.499999999929761e+03 2.672612418981680e-01
-4.550000000000000e-01 9.999999999789916e-01 1.000000000077922e+01 9.999999999708423e+02 2.549999999933848e+03 2.500000000110930e+03 2.672612419343389e-01
-4.450000000000000e-01 9.999999999553183e-01 1.000000000165693e+01 9.999999999379992e+02 2.549999999859333e+03 2.500000000235963e+03 2.672612419590220e-01
-4.349999999999999e-01 1.000000000441496e+00 9.999999983448067e+00 1.000000000619313e+03 2.550000001404838e+03 2.499999997685190e+03 2.672612414462937e-01
-4.250000000000000e-01 9.999999981157688e-01 1.000000007042942e+01 9.999999973647691e+02 2.549999994022006e+03 2.500000009898946e+03 2.672612438950865e-01
-4.150000000000000e-01 1.000000005949436e+00 9.999999777231659e+00 1.000000008335224e+03 2.550000018907849e+03 2.499999968780500e+03 2.672612356398757e-01
-4.050000000000000e-01 9.999999840403470e-01 1.000000059679307e+01 9.999999776700424e+02 2.549999949345055e+03 2.500000083822075e+03 2.672612587136579e-01
-3.950000000000000e-01 1.000000039640663e+00 9.999998515959362e+00 1.000000055527711e+03 2.550000125960906e+03 2.499999791963508e+03 2.672612001267743e-01
-3.850000000000000e-01 9.999998952451145e-01 1.000000391769171e+01 9.999998534133975e+02 2.549999667472671e+03 2.500000550138945e+03 2.672613522071408e-01
-3.750000000000000e-01 1.000000323860126e+00 9.999987877967223e+00 1.000000453564970e+03 2.550001028885139e+03 2.499998300138255e+03 2.672609006049603e-01
-3.650000000000000e-01 9.999985653967541e-01 1.000005366811399e+01 9.999979919246126e+02 2.549995444763180e+03 2.500007532627756e+03 2.672627528870966e-01
-3.550000000000000e-01 1.000003572377533e+00 9.999866311420396e+00 1.000005002178513e+03 2.550011347183523e+03 2.499981247377335e+03 2.672574778730920e-01
-3.450000000000000e-01 9.999631240226038e-01 1.000137972951115e+01 9.999483762356971e+02 2.549882894528488e+03 2.500193630382544e+03 2.673000878570123e-01
-3.350000000000000e-01 9.998540147887444e-01 1.000546243262380e+01 9.997956319359007e+02 2.549536411847991e+03 2.500766842254939e+03 2.674150390452849e-01
-3.250000000000000e-01 9.996497085204744e-01 1.001310812018543e+01 9.995096400589931e+02 2.548887706740047e+03 2.501841408196938e+03 2.676303216688700e-01
-3.149999999999999e-01 9.990808065142696e-01 1.003440352206498e+01 9.987134257933162e+02 2.547081915051906e+03 2.504842085329957e+03 2.682300358537200e-01
-3.049999999999999e-01 9.974487200748038e-01 1.009554682518196e+01 9.964303096222351e+02 2.541905793596512e+03 2.513520201768806e+03 2.699526863416283e-01
-2.950000000000000e-01 9.940347233543650e-01 1.022369141435182e+01 9.916596508700089e+02 2.531099303354182e+03 2.532013694733703e+03 2.735666617828677e-01
-2.850000000000000e-01 9.870636241807391e-01 1.048639930204783e+01 9.819399345666201e+02 2.509120850073301e+03 2.571270040955682e+03 2.809910487629391e-01
-2.750000000000000e-01 9.759120262771485e-01 1.090977919305812e+01 9.664478926109483e+02 2.474197857702904e+03 2.638572237016192e+03 2.930002940758965e-01
-2.650000000000000e-01 9.619973894982411e-01 1.144360145228904e+01 9.472145571458886e+02 2.431026064763907e+03 2.731327968099595e+03 3.082204649059185e-01
-2.550000000000000e-01 9.465642412150648e-01 1.204301673979300e+01 9.260104282115084e+02 2.383668188968318e+03 2.847598651907497e+03 3.254156088253012e-01
-2.450000000000000e-01 9.302007892747207e-01 1.268718287414269e+01 9.036783240470633e+02 2.334060513417337e+03 2.989529643584818e+03 3.440191363516190e-01
-2.350000000000000e-01 9.131381817288250e-01 1.336859303309800e+01 8.805591256054389e+02 2.282995513059137e+03 3.163002260375903e+03 3.638401944113066e-01
